is_grand_final,updated,hteamid,timestr,complete,tz,unixtime,winner,ascore,hgoals,ateam,abehinds,is_final,date,hbehinds,hteam,venue,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:11,15,Full Time,100,+10:00,1178271600,St Kilda,82,18,Carlton,16,0,2007-05-04 19:40:00,17,St Kilda,Docklands,15.0,6,125,11,9456,3,2007-05-04 19:40:00,2007,Round 6
0,2022-01-25 11:07:11,17,Full Time,100,+10:00,1178338200,West Coast,62,10,Western Bulldogs,8,0,2007-05-05 14:10:00,17,West Coast,Subiaco,17.0,6,77,9,9458,18,2007-05-05 12:10:00,2007,Round 6
0,2022-01-25 11:07:11,2,Full Time,100,+10:00,1178961000,Adelaide,100,9,Adelaide,16,0,2007-05-12 19:10:00,15,Brisbane Lions,Gabba,1.0,7,69,14,9467,1,2007-05-12 19:10:00,2007,Round 7
0,2022-01-25 11:07:11,4,Full Time,100,+10:00,1178943000,Collingwood,95,17,Carlton,11,0,2007-05-12 14:10:00,17,Collingwood,M.C.G.,4.0,7,119,14,9465,3,2007-05-12 14:10:00,2007,Round 7
0,2022-01-25 11:07:11,6,Full Time,100,+10:00,1179031200,Fremantle,80,14,Hawthorn,14,0,2007-05-13 14:40:00,12,Fremantle,Subiaco,6.0,7,96,11,9471,10,2007-05-13 12:40:00,2007,Round 7
0,2022-01-25 11:07:11,7,Full Time,100,+10:00,1179025800,Geelong,70,16,West Coast,10,0,2007-05-13 13:10:00,13,Geelong,Kardinia Park,7.0,7,109,10,9469,17,2007-05-13 13:10:00,2007,Round 7
0,2022-01-25 11:07:11,12,Full Time,100,+10:00,1178876400,North Melbourne,95,18,Essendon,17,0,2007-05-11 19:40:00,9,North Melbourne,Docklands,12.0,7,117,13,9464,5,2007-05-11 19:40:00,2007,Round 7
0,2022-01-25 11:07:11,13,Full Time,100,+10:00,1178944800,Port Adelaide,75,16,Richmond,15,0,2007-05-12 14:40:00,19,Port Adelaide,Football Park,13.0,7,115,10,9466,14,2007-05-12 14:10:00,2007,Round 7
0,2022-01-25 11:07:11,15,Full Time,100,+10:00,1178961000,St Kilda,71,15,Sydney,5,0,2007-05-12 19:10:00,7,St Kilda,Docklands,15.0,7,97,11,9468,16,2007-05-12 19:10:00,2007,Round 7
0,2022-01-25 11:07:11,18,Full Time,100,+10:00,1179029400,Western Bulldogs,106,16,Melbourne,10,0,2007-05-13 14:10:00,16,Western Bulldogs,Docklands,18.0,7,112,16,9470,11,2007-05-13 14:10:00,2007,Round 7
0,2022-01-25 11:07:11,1,Full Time,100,+10:00,1179479400,Adelaide,90,14,Richmond,6,0,2007-05-18 19:10:00,15,Adelaide,Football Park,1.0,8,99,14,9472,14,2007-05-18 18:40:00,2007,Round 8
0,2022-01-25 11:07:11,5,Full Time,100,+10:00,1179547800,Essendon,63,18,Brisbane Lions,15,0,2007-05-19 14:10:00,19,Essendon,Docklands,5.0,8,127,8,9473,2,2007-05-19 14:10:00,2007,Round 8
0,2022-01-25 11:07:11,7,Full Time,100,+10:00,1179547800,Geelong,69,14,Fremantle,9,0,2007-05-19 14:10:00,10,Geelong,Kardinia Park,7.0,8,94,10,9474,6,2007-05-19 14:10:00,2007,Round 8
