unixtime,winner,ascore,hgoals,ateam,abehinds,is_grand_final,hteamid,updated,timestr,complete,tz,ateamid,id,roundname,localtime,year,is_final,date,winnerteamid,hteam,venue,hbehinds,agoals,hscore,round
990263400,Collingwood,119,16,Collingwood,11,0,13,2022-01-25 11:07:28,Full Time,100,+10:00,4,10586,Round 8,2001-05-19 18:40:00,2001,0,2001-05-19 19:10:00,4,Port Adelaide,Football Park,14,18,110,8
990178800,Adelaide,120,14,Adelaide,18,0,14,2022-01-25 11:07:28,Full Time,100,+10:00,1,10582,Round 8,2001-05-18 19:40:00,2001,0,2001-05-18 19:40:00,1,Richmond,M.C.G.,8,17,92,8
990331800,Western Bulldogs,101,18,Sydney,11,0,18,2022-01-25 11:07:28,Full Time,100,+10:00,16,10588,Round 8,2001-05-20 14:10:00,2001,0,2001-05-20 14:10:00,18,Western Bulldogs,S.C.G.,14,15,122,8
990870000,Adelaide,127,18,Adelaide,13,0,2,2022-01-25 11:07:28,Full Time,100,+10:00,1,10593,Round 9,2001-05-26 19:40:00,2001,0,2001-05-26 19:40:00,1,Brisbane Lions,Gabba,14,19,122,9
990850200,Collingwood,80,14,St Kilda,8,0,4,2022-01-25 11:07:28,Full Time,100,+10:00,15,10591,Round 9,2001-05-26 14:10:00,2001,0,2001-05-26 14:10:00,4,Collingwood,M.C.G.,14,12,98,9
990870000,Essendon,57,18,Hawthorn,9,0,5,2022-01-25 11:07:28,Full Time,100,+10:00,10,10594,Round 9,2001-05-26 19:40:00,2001,0,2001-05-26 19:40:00,5,Essendon,Docklands,14,8,122,9
990936600,Geelong,76,17,Richmond,10,0,7,2022-01-25 11:07:28,Full Time,100,+10:00,14,10597,Round 9,2001-05-27 14:10:00,2001,0,2001-05-27 14:10:00,7,Geelong,Kardinia Park,16,11,118,9
990783600,Carlton,82,10,Carlton,10,0,12,2022-01-25 11:07:28,Full Time,100,+10:00,3,10590,Round 9,2001-05-25 19:40:00,2001,0,2001-05-25 19:40:00,3,North Melbourne,M.C.G.,9,12,69,9
990934800,Port Adelaide,68,13,Melbourne,14,0,13,2022-01-25 11:07:28,Full Time,100,+10:00,11,10595,Round 9,2001-05-27 13:10:00,2001,0,2001-05-27 13:40:00,13,Port Adelaide,Football Park,10,9,88,9
990936600,Sydney,65,12,Fremantle,5,0,16,2022-01-25 11:07:28,Full Time,100,+10:00,6,10596,Round 9,2001-05-27 14:10:00,2001,0,2001-05-27 14:10:00,16,Sydney,S.C.G.,12,10,84,9
990862800,Western Bulldogs,125,11,Western Bulldogs,17,0,17,2022-01-25 11:07:28,Full Time,100,+10:00,18,10592,Round 9,2001-05-26 15:40:00,2001,0,2001-05-26 17:40:00,18,West Coast,Subiaco,11,18,77,9
991539600,Adelaide,55,9,Geelong,7,0,1,2022-01-25 11:07:28,Full Time,100,+10:00,7,10603,Round 10,2001-06-03 13:10:00,2001,0,2001-06-03 13:40:00,1,Adelaide,Football Park,12,8,66,10
991474800,Brisbane Lions,74,15,Essendon,14,0,2,2022-01-25 11:07:28,Full Time,100,+10:00,5,10602,Round 10,2001-06-02 19:40:00,2001,0,2001-06-02 19:40:00,2,Brisbane Lions,Gabba,12,10,102,10
991455000,Carlton,30,21,West Coast,12,0,3,2022-01-25 11:07:28,Full Time,100,+10:00,17,10599,Round 10,2001-06-02 14:10:00,2001,0,2001-06-02 14:10:00,3,Carlton,Princes Park,23,3,149,10
991541400,Sydney,73,7,Sydney,7,0,4,2022-01-25 11:07:28,Full Time,100,+10:00,16,10604,Round 10,2001-06-03 14:10:00,2001,0,2001-06-03 14:10:00,16,Collingwood,Docklands,13,11,55,10
991541400,Richmond,84,6,Richmond,12,0,6,2022-01-25 11:07:28,Full Time,100,+10:00,14,10605,Round 10,2001-06-03 12:10:00,2001,0,2001-06-03 14:10:00,14,Fremantle,Subiaco,10,12,46,10
991455000,Port Adelaide,116,10,Port Adelaide,14,0,10,2022-01-25 11:07:28,Full Time,100,+10:00,13,10600,Round 10,2001-06-02 14:10:00,2001,0,2001-06-02 14:10:00,13,Hawthorn,M.C.G.,13,17,73,10
991472400,Melbourne,144,17,Melbourne,12,0,15,2022-01-25 11:07:28,Full Time,100,+10:00,11,10601,Round 10,2001-06-02 19:00:00,2001,0,2001-06-02 19:00:00,11,St Kilda,Docklands,11,22,113,10
991388400,North Melbourne,125,11,North Melbourne,11,0,18,2022-01-25 11:07:28,Full Time,100,+10:00,12,10598,Round 10,2001-06-01 19:40:00,2001,0,2001-06-01 19:40:00,12,Western Bulldogs,Docklands,13,19,79,10
992077800,Western Bulldogs,127,14,Western Bulldogs,13,0,1,2022-01-25 11:07:28,Full Time,100,+10:00,18,10609,Round 11,2001-06-09 18:40:00,2001,0,2001-06-09 19:10:00,18,Adelaide,Football Park,13,19,97,11
992059800,Geelong,90,14,Hawthorn,12,0,7,2022-01-25 11:07:28,Full Time,100,+10:00,10,10607,Round 11,2001-06-09 14:10:00,2001,0,2001-06-09 14:10:00,7,Geelong,Docklands,9,13,93,11
992232600,Collingwood,134,8,Collingwood,20,0,11,2022-01-25 11:07:28,Full Time,100,+10:00,4,10613,Round 11,2001-06-11 14:10:00,2001,0,2001-06-11 14:10:00,4,Melbourne,M.C.G.,9,19,57,11
992146200,North Melbourne,68,23,Fremantle,8,0,12,2022-01-25 11:07:28,Full Time,100,+10:00,6,10611,Round 11,2001-06-10 14:10:00,2001,0,2001-06-10 14:10:00,12,North Melbourne,Docklands,16,10,154,11
992146200,Richmond,61,13,Carlton,13,0,14,2022-01-25 11:07:28,Full Time,100,+10:00,3,10610,Round 11,2001-06-10 14:10:00,2001,0,2001-06-10 14:10:00,14,Richmond,M.C.G.,10,8,88,11
991993200,Essendon,128,13,Essendon,14,0,15,2022-01-25 11:07:28,Full Time,100,+10:00,5,10606,Round 11,2001-06-08 19:40:00,2001,0,2001-06-08 19:40:00,5,St Kilda,Docklands,8,19,86,11
992146200,Sydney,78,18,Port Adelaide,18,0,16,2022-01-25 11:07:28,Full Time,100,+10:00,13,10612,Round 11,2001-06-10 14:10:00,2001,0,2001-06-10 14:10:00,16,Sydney,S.C.G.,17,10,125,11
992072400,Brisbane Lions,84,9,Brisbane Lions,18,0,17,2022-01-25 11:07:28,Full Time,100,+10:00,2,10608,Round 11,2001-06-09 15:40:00,2001,0,2001-06-09 17:40:00,2,West Coast,Subiaco,8,11,62,11
993202800,Collingwood,92,26,West Coast,8,0,4,2022-01-25 11:07:28,Full Time,100,+10:00,17,10618,Round 12,2001-06-22 19:40:00,2001,0,2001-06-22 19:40:00,4,Collingwood,Docklands,17,14,173,12
992598000,Essendon,73,18,Adelaide,7,0,5,2022-01-25 11:07:28,Full Time,100,+10:00,1,10614,Round 12,2001-06-15 19:40:00,2001,0,2001-06-15 19:40:00,5,Essendon,Docklands,14,11,122,12
992677200,St Kilda,90,11,St Kilda,18,0,6,2022-01-25 11:07:28,Full Time,100,+10:00,15,10616,Round 12,2001-06-16 15:40:00,2001,0,2001-06-16 17:40:00,15,Fremantle,Subiaco,14,12,80,12
992664600,Western Bulldogs,94,13,Western Bulldogs,4,0,7,2022-01-25 11:07:28,Full Time,100,+10:00,18,10615,Round 12,2001-06-16 14:10:00,2001,0,2001-06-16 14:10:00,18,Geelong,Kardinia Park,9,15,87,12
993269400,Hawthorn,98,15,North Melbourne,14,0,10,2022-01-25 11:07:28,Full Time,100,+10:00,12,10619,Round 12,2001-06-23 14:10:00,2001,0,2001-06-23 14:10:00,10,Hawthorn,M.C.G.,11,14,101,12
992751000,Brisbane Lions,148,14,Brisbane Lions,10,0,11,2022-01-25 11:07:28,Full Time,100,+10:00,2,10617,Round 12,2001-06-17 14:10:00,2001,0,2001-06-17 14:10:00,2,Melbourne,Gabba,15,23,99,12
993354000,Carlton,104,10,Carlton,14,0,13,2022-01-25 11:07:28,Full Time,100,+10:00,3,10621,Round 12,2001-06-24 13:10:00,2001,0,2001-06-24 13:40:00,3,Port Adelaide,Football Park,10,15,70,12
993286800,Richmond,60,12,Sydney,12,0,14,2022-01-25 11:07:28,Full Time,100,+10:00,16,10620,Round 12,2001-06-23 19:00:00,2001,0,2001-06-23 19:00:00,14,Richmond,Docklands,14,8,86,12
993892200,Collingwood,99,14,Collingwood,9,0,1,2022-01-25 11:07:28,Full Time,100,+10:00,4,10626,Round 13,2001-06-30 18:40:00,2001,0,2001-06-30 19:10:00,4,Adelaide,Football Park,13,15,97,13
993807600,Brisbane Lions,53,20,Hawthorn,5,0,2,2022-01-25 11:07:28,Full Time,100,+10:00,10,10622,Round 13,2001-06-29 19:40:00,2001,0,2001-06-29 19:40:00,2,Brisbane Lions,Gabba,20,8,140,13
993874200,Carlton,92,23,Western Bulldogs,14,0,3,2022-01-25 11:07:28,Full Time,100,+10:00,18,10624,Round 13,2001-06-30 14:10:00,2001,0,2001-06-30 14:10:00,3,Carlton,Princes Park,15,13,153,13
993874200,Essendon,72,18,Fremantle,12,0,5,2022-01-25 11:07:28,Full Time,100,+10:00,6,10625,Round 13,2001-06-30 14:10:00,2001,0,2001-06-30 14:10:00,5,Essendon,Docklands,10,10,118,13
993872400,North Melbourne,73,14,Port Adelaide,13,0,12,2022-01-25 11:07:28,Full Time,100,+10:00,13,10623,Round 13,2001-06-30 13:40:00,2001,0,2001-06-30 13:40:00,12,North Melbourne,Manuka Oval,11,10,95,13
993960600,Richmond,126,13,Richmond,12,0,15,2022-01-25 11:07:28,Full Time,100,+10:00,14,10628,Round 13,2001-07-01 14:10:00,2001,0,2001-07-01 14:10:00,14,St Kilda,Docklands,9,19,87,13
993960600,Geelong,84,9,Geelong,12,0,16,2022-01-25 11:07:28,Full Time,100,+10:00,7,10627,Round 13,2001-07-01 14:10:00,2001,0,2001-07-01 14:10:00,7,Sydney,S.C.G.,11,12,65,13
993960600,West Coast,88,15,Melbourne,10,0,17,2022-01-25 11:07:28,Full Time,100,+10:00,11,10629,Round 13,2001-07-01 12:10:00,2001,0,2001-07-01 14:10:00,17,West Coast,Subiaco,5,13,95,13
994497000,Adelaide,51,8,West Coast,9,0,1,2022-01-25 11:07:28,Full Time,100,+10:00,17,10632,Round 14,2001-07-07 18:40:00,2001,0,2001-07-07 19:10:00,1,Adelaide,Football Park,16,7,64,14
994498800,Brisbane Lions,62,17,St Kilda,8,0,2,2022-01-25 11:07:28,Full Time,100,+10:00,15,10633,Round 14,2001-07-07 19:40:00,2001,0,2001-07-07 19:40:00,2,Brisbane Lions,Gabba,17,9,119,14
994563600,Port Adelaide,163,11,Port Adelaide,13,0,6,2022-01-25 11:07:28,Full Time,100,+10:00,13,10637,Round 14,2001-07-08 11:40:00,2001,0,2001-07-08 13:40:00,13,Fremantle,Subiaco,5,25,71,14
994565400,Geelong,93,16,Collingwood,9,0,7,2022-01-25 11:07:28,Full Time,100,+10:00,4,10635,Round 14,2001-07-08 14:10:00,2001,0,2001-07-08 14:10:00,7,Geelong,Docklands,15,14,111,14
994565400,North Melbourne,121,13,North Melbourne,13,0,11,2022-01-25 11:07:28,Full Time,100,+10:00,12,10636,Round 14,2001-07-08 14:10:00,2001,0,2001-07-08 14:10:00,12,Melbourne,M.C.G.,15,18,93,14
994479000,Hawthorn,129,10,Hawthorn,9,0,14,2022-01-25 11:07:28,Full Time,100,+10:00,10,10631,Round 14,2001-07-07 14:10:00,2001,0,2001-07-07 14:10:00,10,Richmond,M.C.G.,11,20,71,14
994565400,Sydney,81,12,Carlton,9,0,16,2022-01-25 11:07:28,Full Time,100,+10:00,3,10634,Round 14,2001-07-08 14:10:00,2001,0,2001-07-08 14:10:00,16,Sydney,S.C.G.,19,12,91,14
994412400,Essendon,154,11,Essendon,10,0,18,2022-01-25 11:07:28,Full Time,100,+10:00,5,10630,Round 14,2001-07-06 19:40:00,2001,0,2001-07-06 19:40:00,5,Western Bulldogs,Docklands,10,24,76,14
995083800,Melbourne,117,16,Melbourne,9,0,3,2022-01-25 11:07:28,Full Time,100,+10:00,11,10639,Round 15,2001-07-14 14:10:00,2001,0,2001-07-14 14:10:00,11,Carlton,Princes Park,15,18,111,15
995170200,Brisbane Lions,129,16,Brisbane Lions,15,0,4,2022-01-25 11:07:28,Full Time,100,+10:00,2,10644,Round 15,2001-07-15 14:10:00,2001,0,2001-07-15 14:10:00,2,Collingwood,M.C.G.,7,19,103,15
995170200,Essendon,112,19,Geelong,10,0,5,2022-01-25 11:07:28,Full Time,100,+10:00,7,10645,Round 15,2001-07-15 14:10:00,2001,0,2001-07-15 14:10:00,5,Essendon,Docklands,13,17,127,15
