venue,hbehinds,hteam,winnerteamid,round,agoals,hscore,is_final,date,year,localtime,roundname,id,ateamid,timestr,complete,tz,is_grand_final,updated,hteamid,ascore,winner,hgoals,abehinds,ateam,unixtime
Docklands,12,Richmond,8.0,7,11,48,0,2023-04-30 15:20:00,2023,2023-04-30 15:20:00,Round 7,34321,8,Full Time,100,+10:00,0,2023-04-30 17:51:31,14,72,Gold Coast,6,6,Gold Coast,1682832000
Docklands,10,St Kilda,13.0,7,12,76,0,2023-04-28 19:50:00,2023,2023-04-28 19:50:00,Round 7,34314,13,Full Time,100,+10:00,0,2023-04-28 22:23:21,15,83,Port Adelaide,11,11,Port Adelaide,1682675400
S.C.G.,10,Sydney,9.0,7,17,106,0,2023-04-29 14:10:00,2023,2023-04-29 14:10:00,Round 7,34316,9,Full Time,100,+10:00,0,2023-04-29 16:52:52,16,107,Greater Western Sydney,16,5,Greater Western Sydney,1682741400
Perth Stadium,8,West Coast,3.0,7,23,44,0,2023-04-29 19:30:00,2023,2023-04-29 17:30:00,Round 7,34319,3,Full Time,100,+10:00,0,2023-04-29 22:14:45,17,152,Carlton,6,14,Carlton,1682760600
Docklands,10,Western Bulldogs,18.0,7,9,94,0,2023-04-29 16:35:00,2023,2023-04-29 16:35:00,Round 7,34317,10,Full Time,100,+10:00,0,2023-04-29 19:08:58,18,65,Western Bulldogs,14,11,Hawthorn,1682750100
Docklands,8,Carlton,2.0,8,15,74,0,2023-05-05 19:50:00,2023,2023-05-05 19:50:00,Round 8,34323,2,Full Time,100,+10:00,0,2023-05-05 22:30:11,3,100,Brisbane Lions,11,10,Brisbane Lions,1683280200
M.C.G.,11,Collingwood,4.0,8,6,77,0,2023-05-07 15:20:00,2023,2023-05-07 15:20:00,Round 8,34330,16,Full Time,100,+10:00,0,2023-05-07 17:56:55,4,48,Collingwood,11,12,Sydney,1683436800
Perth Stadium,9,Fremantle,6.0,8,7,117,0,2023-05-06 19:30:00,2023,2023-05-06 17:30:00,Round 8,34328,10,Full Time,100,+10:00,0,2023-05-06 22:07:41,6,48,Fremantle,18,6,Hawthorn,1683365400
Kardinia Park,14,Geelong,7.0,8,11,98,0,2023-05-06 14:10:00,2023,2023-05-06 14:10:00,Round 8,34325,1,Full Time,100,+10:00,0,2023-05-06 16:50:50,7,72,Geelong,14,6,Adelaide,1683346200
Carrara,7,Gold Coast,11.0,8,13,85,0,2023-05-06 16:35:00,2023,2023-05-06 16:35:00,Round 8,34326,11,Full Time,100,+10:00,0,2023-05-06 19:22:20,8,90,Melbourne,13,12,Melbourne,1683354900
