unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,timestr,complete,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hbehinds,hteam,winnerteamid,round,agoals,hscore
897189000,Fremantle,50,17,8,Brisbane Lions,0,2022-11-10 21:14:18,6,,100,+11:00,21875,2,1998,1998-06-07 11:10:00,Round 11,0,1998-06-07 14:10:00,Subiaco,19,Fremantle,6.0,11,7,121
897108000,Geelong,63,12,9,Carlton,0,2022-11-10 21:14:18,7,,100,+11:00,21872,3,1998,1998-06-06 14:40:00,Round 11,0,1998-06-06 15:40:00,M.C.G.,8,Geelong,7.0,11,9,80
897102600,Melbourne,117,10,9,Melbourne,0,2022-11-10 21:14:18,10,,100,+11:00,21871,11,1998,1998-06-06 13:10:00,Round 11,0,1998-06-06 14:10:00,Waverley Park,10,Hawthorn,11.0,11,18,70
897275400,North Melbourne,97,19,19,Collingwood,0,2022-11-10 21:14:18,12,,100,+11:00,21876,4,1998,1998-06-08 13:10:00,Round 11,0,1998-06-08 14:10:00,M.C.G.,12,North Melbourne,12.0,11,13,126
897126000,West Coast,57,7,9,West Coast,0,2022-11-10 21:14:18,13,,100,+11:00,21873,17,1998,1998-06-06 19:10:00,Round 11,0,1998-06-06 20:40:00,Football Park,13,Port Adelaide,17.0,11,8,55
897275400,St Kilda,110,21,14,Richmond,0,2022-11-10 21:14:18,15,,100,+11:00,21877,14,1998,1998-06-08 13:10:00,Round 11,0,1998-06-08 14:10:00,Waverley Park,11,St Kilda,15.0,11,16,137
897189000,Western Bulldogs,88,24,10,Adelaide,0,2022-11-10 21:14:18,18,,100,+11:00,21874,1,1998,1998-06-07 13:10:00,Round 11,0,1998-06-07 14:10:00,Princes Park,11,Western Bulldogs,18.0,11,13,155
897730800,Adelaide,106,15,16,Essendon,0,2022-11-10 21:14:18,1,,100,+11:00,21889,5,1998,1998-06-13 19:10:00,Round 12,0,1998-06-13 20:40:00,Football Park,18,Adelaide,1.0,12,15,108
897793800,,123,18,15,Port Adelaide,0,2022-11-10 21:14:18,2,,100,+11:00,21893,13,1998,1998-06-14 13:10:00,Round 12,0,1998-06-14 14:10:00,Gabba,15,Brisbane Lions,,12,18,123
897707400,Carlton,74,14,8,Sydney,0,2022-11-10 21:14:18,3,,100,+11:00,21887,16,1998,1998-06-13 13:10:00,Round 12,0,1998-06-13 14:10:00,Princes Park,16,Carlton,3.0,12,11,100
897793800,St Kilda,117,11,15,St Kilda,0,2022-11-10 21:14:18,4,,100,+11:00,21890,15,1998,1998-06-14 13:10:00,Round 12,0,1998-06-14 14:10:00,Waverley Park,16,Collingwood,15.0,12,17,82
897707400,Geelong,141,7,9,Geelong,0,2022-11-10 21:14:18,11,,100,+11:00,21888,7,1998,1998-06-13 13:10:00,Round 12,0,1998-06-13 14:10:00,M.C.G.,4,Melbourne,7.0,12,22,46
897793800,Richmond,92,19,8,North Melbourne,0,2022-11-10 21:14:18,14,,100,+11:00,21892,12,1998,1998-06-14 13:10:00,Round 12,0,1998-06-14 14:10:00,M.C.G.,13,Richmond,14.0,12,14,127
897644400,West Coast,108,19,6,Hawthorn,0,2022-11-10 21:14:18,17,,100,+11:00,21886,10,1998,1998-06-12 17:40:00,Round 12,0,1998-06-12 20:40:00,W.A.C.A.,9,West Coast,17.0,12,17,123
897793800,Western Bulldogs,96,18,6,Fremantle,0,2022-11-10 21:14:18,18,,100,+11:00,21891,6,1998,1998-06-14 13:10:00,Round 12,0,1998-06-14 14:10:00,Princes Park,14,Western Bulldogs,18.0,12,15,122
898312200,Adelaide,79,10,13,Adelaide,0,2022-11-10 21:14:18,4,,100,+11:00,21847,1,1998,1998-06-20 13:10:00,Round 13,0,1998-06-20 14:10:00,M.C.G.,10,Collingwood,1.0,13,11,70
