year,localtime,roundname,id,ateamid,hteam,hbehinds,venue,winnerteamid,round,agoals,hscore,is_final,date,ascore,hgoals,winner,ateam,abehinds,unixtime,complete,timestr,tz,is_grand_final,updated,hteamid
1997,1997-06-09 13:10:00,Round 11,22084,6,North Melbourne,15,M.C.G.,12.0,11,12,105,0,1997-06-09 14:10:00,79,15,North Melbourne,Fremantle,7,865825800,100,,+11:00,0,2022-11-10 21:19:14,12
1997,1997-06-07 19:10:00,Round 11,22080,16,Port Adelaide,17,Football Park,16.0,11,10,41,0,1997-06-07 20:40:00,76,4,Sydney,Sydney,16,865676400,100,,+11:00,0,2022-11-10 21:19:14,13
1997,1997-06-08 11:10:00,Round 11,22082,15,West Coast,7,Subiaco,15.0,11,13,73,0,1997-06-08 14:10:00,89,11,St Kilda,St Kilda,11,865739400,100,,+11:00,0,2022-11-10 21:19:14,17
1997,1997-06-07 13:10:00,Round 11,22079,7,Western Bulldogs,12,Princes Park,18.0,11,11,96,0,1997-06-07 14:10:00,75,14,Western Bulldogs,Geelong,9,865653000,100,,+11:00,0,2022-11-10 21:19:14,18
1997,1997-06-15 13:40:00,Round 12,21947,12,Adelaide,11,Football Park,12.0,12,16,83,0,1997-06-15 15:10:00,105,12,North Melbourne,North Melbourne,9,866347800,100,,+11:00,0,2022-11-10 21:19:13,1
1997,1997-06-14 13:10:00,Round 12,21942,17,Collingwood,13,Victoria Park,17.0,12,11,55,0,1997-06-14 14:10:00,71,7,West Coast,West Coast,5,866257800,100,,+11:00,0,2022-11-10 21:19:13,4
1997,1997-06-15 11:10:00,Round 12,21948,5,Fremantle,13,Subiaco,6.0,12,9,157,0,1997-06-15 14:10:00,60,24,Fremantle,Essendon,6,866344200,100,,+11:00,0,2022-11-10 21:19:13,6
1997,1997-06-14 13:10:00,Round 12,21944,10,Geelong,10,Kardinia Park,10.0,12,13,82,0,1997-06-14 14:10:00,88,12,Hawthorn,Hawthorn,10,866257800,100,,+11:00,0,2022-11-10 21:19:13,7
1997,1997-06-15 13:10:00,Round 12,21946,2,Melbourne,8,M.C.G.,2.0,12,21,50,0,1997-06-15 14:10:00,135,7,Brisbane Lions,Brisbane Lions,9,866344200,100,,+11:00,0,2022-11-10 21:19:13,11
1997,1997-06-15 13:10:00,Round 12,21945,3,St Kilda,20,Waverley Park,15.0,12,12,116,0,1997-06-15 14:10:00,85,16,St Kilda,Carlton,13,866344200,100,,+11:00,0,2022-11-10 21:19:13,15
1997,1997-06-13 18:40:00,Round 12,21941,14,Sydney,8,S.C.G.,16.0,12,16,164,0,1997-06-13 19:40:00,110,26,Sydney,Richmond,14,866191200,100,,+11:00,0,2022-11-10 21:19:13,16
1997,1997-06-14 13:10:00,Round 12,21943,13,Western Bulldogs,10,Princes Park,13.0,12,14,82,0,1997-06-14 14:10:00,94,12,Port Adelaide,Port Adelaide,10,866257800,100,,+11:00,0,2022-11-10 21:19:13,18
1997,1997-06-28 18:40:00,Round 13,22114,4,Brisbane Lions,22,Gabba,2.0,13,11,88,0,1997-06-28 19:40:00,73,11,Brisbane Lions,Collingwood,7,867487200,100,,+11:00,0,2022-11-10 21:19:14,2
1997,1997-06-28 13:10:00,Round 13,22111,1,Geelong,8,Kardinia Park,7.0,13,7,110,0,1997-06-28 14:10:00,54,17,Geelong,Adelaide,12,867467400,100,,+11:00,0,2022-11-10 21:19:14,7
1997,1997-06-29 13:10:00,Round 13,22116,11,Hawthorn,16,Waverley Park,10.0,13,7,118,0,1997-06-29 14:10:00,55,17,Hawthorn,Melbourne,13,867553800,100,,+11:00,0,2022-11-10 21:19:14,10
1997,1997-06-28 19:10:00,Round 13,22115,6,Port Adelaide,9,Football Park,13.0,13,7,69,0,1997-06-28 20:40:00,54,10,Port Adelaide,Fremantle,12,867490800,100,,+11:00,0,2022-11-10 21:19:14,13
1997,1997-06-28 13:10:00,Round 13,22112,5,Richmond,10,M.C.G.,5.0,13,19,34,0,1997-06-28 14:10:00,127,4,Essendon,Essendon,13,867467400,100,,+11:00,0,2022-11-10 21:19:14,14
1997,1997-06-28 13:10:00,Round 13,22113,18,St Kilda,18,Waverley Park,18.0,13,15,84,0,1997-06-28 14:10:00,101,11,Western Bulldogs,Western Bulldogs,11,867467400,100,,+11:00,0,2022-11-10 21:19:14,15
1997,1997-06-29 13:10:00,Round 13,22117,12,Sydney,17,S.C.G.,16.0,13,7,65,0,1997-06-29 14:10:00,55,8,Sydney,North Melbourne,13,867553800,100,,+11:00,0,2022-11-10 21:19:14,16
1997,1997-06-27 17:40:00,Round 13,22110,3,West Coast,13,Subiaco,3.0,13,12,79,0,1997-06-27 20:40:00,86,11,Carlton,Carlton,14,867404400,100,,+11:00,0,2022-11-10 21:19:14,17
1997,1997-07-04 19:10:00,Round 14,21949,17,Adelaide,10,Football Park,1.0,14,4,106,0,1997-07-04 20:40:00,31,16,Adelaide,West Coast,7,868009200,100,,+11:00,0,2022-11-10 21:19:13,1
1997,1997-07-06 13:10:00,Round 14,21956,14,Brisbane Lions,26,Gabba,2.0,14,7,68,0,1997-07-06 14:10:00,50,7,Brisbane Lions,Richmond,8,868158600,100,,+11:00,0,2022-11-10 21:19:13,2
1997,1997-07-05 13:10:00,Round 14,21950,18,Carlton,8,Princes Park,18.0,14,16,74,0,1997-07-05 14:10:00,110,11,Western Bulldogs,Western Bulldogs,14,868072200,100,,+11:00,0,2022-11-10 21:19:13,3
1997,1997-07-06 13:10:00,Round 14,21954,11,Essendon,12,M.C.G.,5.0,14,8,120,0,1997-07-06 14:10:00,57,18,Essendon,Melbourne,9,868158600,100,,+11:00,0,2022-11-10 21:19:13,5
1997,1997-07-05 17:40:00,Round 14,21953,16,Fremantle,12,W.A.C.A.,6.0,14,3,48,0,1997-07-05 20:40:00,33,6,Fremantle,Sydney,15,868095600,100,,+11:00,0,2022-11-10 21:19:13,6
1997,1997-07-05 13:10:00,Round 14,21951,4,Geelong,26,M.C.G.,7.0,14,10,80,0,1997-07-05 14:10:00,72,9,Geelong,Collingwood,12,868072200,100,,+11:00,0,2022-11-10 21:19:13,7
1997,1997-07-06 13:10:00,Round 14,21955,13,Hawthorn,16,Waverley Park,10.0,14,13,124,0,1997-07-06 14:10:00,92,18,Hawthorn,Port Adelaide,14,868158600,100,,+11:00,0,2022-11-10 21:19:13,10
1997,1997-07-05 13:10:00,Round 14,21952,12,St Kilda,13,Waverley Park,15.0,14,11,133,0,1997-07-05 14:10:00,79,20,St Kilda,North Melbourne,13,868072200,100,,+11:00,0,2022-11-10 21:19:13,15
1997,1997-07-12 19:10:00,Round 15,22021,15,Adelaide,16,Football Park,1.0,15,9,76,0,1997-07-12 20:40:00,66,10,Adelaide,St Kilda,12,868700400,100,,+11:00,0,2022-11-10 21:19:13,1
1997,1997-07-12 13:10:00,Round 15,22019,6,Collingwood,10,Victoria Park,4.0,15,9,160,0,1997-07-12 14:10:00,60,25,Collingwood,Fremantle,6,868677000,100,,+11:00,0,2022-11-10 21:19:13,4
1997,1997-07-12 13:10:00,Round 15,22018,3,Melbourne,11,M.C.G.,11.0,15,15,119,0,1997-07-12 14:10:00,100,18,Melbourne,Carlton,10,868677000,100,,+11:00,0,2022-11-10 21:19:13,11
1997,1997-07-11 18:40:00,Round 15,22017,7,North Melbourne,8,M.C.G.,7.0,15,15,92,0,1997-07-11 19:40:00,102,14,Geelong,Geelong,12,868610400,100,,+11:00,0,2022-11-10 21:19:13,12
1997,1997-07-13 13:10:00,Round 15,22022,10,Richmond,13,M.C.G.,14.0,15,10,145,0,1997-07-13 14:10:00,69,22,Richmond,Hawthorn,9,868763400,100,,+11:00,0,2022-11-10 21:19:13,14
1997,1997-07-13 13:45:00,Round 15,22023,5,Sydney,13,S.C.G.,16.0,15,11,79,0,1997-07-13 14:45:00,78,11,Sydney,Essendon,12,868765500,100,,+11:00,0,2022-11-10 21:19:13,16
1997,1997-07-13 11:20:00,Round 15,22024,13,West Coast,13,Subiaco,17.0,15,9,85,0,1997-07-13 14:20:00,67,12,West Coast,Port Adelaide,13,868764000,100,,+11:00,0,2022-11-10 21:19:13,17
