unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals
1556961900,Western Bulldogs,52,15,10,Richmond,0,2019-05-04 21:54:03,18,100,Full Time,+10:00,3154,14,2019,2019-05-04 19:25:00,Round 7,0,2019-05-04 19:25:00,Marvel Stadium,Western Bulldogs,9,18,7,99,7
1557546300,Collingwood,106,13,10,Collingwood,0,2019-05-11 16:24:02,3,100,Full Time,+10:00,3161,4,2019,2019-05-11 13:45:00,Round 8,0,2019-05-11 13:45:00,M.C.G.,Carlton,9,4,8,87,16
1557645600,Richmond,111,12,9,Richmond,0,2019-05-12 20:00:03,6,100,Full Time,+10:00,3167,14,2019,2019-05-12 15:20:00,Round 8,0,2019-05-12 17:20:00,Perth Stadium,Fremantle,14,14,8,86,17
1557556500,Melbourne,61,9,13,Melbourne,0,2019-05-11 19:10:02,8,100,Full Time,+10:00,3162,11,2019,2019-05-11 16:35:00,Round 8,0,2019-05-11 16:35:00,Carrara,Gold Coast,6,11,8,60,8
1557638400,Hawthorn,38,10,8,Greater Western Sydney,0,2019-05-12 17:48:03,10,100,Full Time,+10:00,3166,9,2019,2019-05-12 15:20:00,Round 8,0,2019-05-12 15:20:00,M.C.G.,Hawthorn,11,10,8,71,5
1557630600,Geelong,104,11,8,Geelong,0,2019-05-12 15:48:02,12,100,Full Time,+10:00,3165,7,2019,2019-05-12 13:10:00,Round 8,0,2019-05-12 13:10:00,Marvel Stadium,North Melbourne,14,7,8,80,16
1557567600,Adelaide,88,9,10,Adelaide,0,2019-05-11 22:18:02,13,100,Full Time,+10:00,3164,1,2019,2019-05-11 19:10:00,Round 8,0,2019-05-11 19:40:00,Adelaide Oval,Port Adelaide,14,1,8,68,13
1557566700,West Coast,88,10,16,West Coast,0,2019-05-11 21:58:02,15,100,Full Time,+10:00,3163,17,2019,2019-05-11 19:25:00,Round 8,0,2019-05-11 19:25:00,Marvel Stadium,St Kilda,10,17,8,70,12
1557481800,Sydney,72,11,12,Essendon,0,2019-05-10 22:28:02,16,100,Full Time,+10:00,3159,5,2019,2019-05-10 19:50:00,Round 8,0,2019-05-10 19:50:00,S.C.G.,Sydney,11,16,8,77,10
1557546300,Western Bulldogs,76,13,10,Brisbane Lions,0,2019-05-11 16:24:02,18,100,Full Time,+10:00,3160,2,2019,2019-05-11 13:45:00,Round 8,0,2019-05-11 13:45:00,Eureka Stadium,Western Bulldogs,14,18,8,92,11
