round,hscore,agoals,venue,hteam,hbehinds,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,winner,ascore,hgoals,unixtime
7,87,15,Gabba,Brisbane Lions,15,18.0,2005-05-07 19:10:00,0,2005-05-07 19:10:00,2005,Round 7,9838,18,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,20,Western Bulldogs,Western Bulldogs,110,12,1115457000
7,180,10,Subiaco,Fremantle,12,6.0,2005-05-08 14:40:00,0,2005-05-08 12:40:00,2005,Round 7,9841,4,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,8,Collingwood,Fremantle,68,28,1115527200
7,119,15,Docklands,Geelong,11,7.0,2005-05-07 14:10:00,0,2005-05-07 14:10:00,2005,Round 7,9836,15,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,11,St Kilda,Geelong,101,18,1115439000
7,77,14,York Park,Hawthorn,5,17.0,2005-05-08 13:10:00,0,2005-05-08 13:10:00,2005,Round 7,9839,17,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,12,West Coast,West Coast,96,12,1115521800
7,78,7,M.C.G.,Melbourne,12,11.0,2005-05-06 19:40:00,0,2005-05-06 19:40:00,2005,Round 7,9834,1,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,12,Adelaide,Melbourne,54,11,1115372400
7,119,10,Football Park,Port Adelaide,11,13.0,2005-05-08 14:40:00,0,2005-05-08 14:10:00,2005,Round 7,9840,12,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,12,North Melbourne,Port Adelaide,72,18,1115527200
7,151,10,M.C.G.,Richmond,13,14.0,2005-05-07 14:10:00,0,2005-05-07 14:10:00,2005,Round 7,9835,3,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,6,Carlton,Richmond,66,23,1115439000
7,94,14,Stadium Australia,Sydney,16,16.0,2005-05-07 19:10:00,0,2005-05-07 19:10:00,2005,Round 7,9837,5,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,4,Essendon,Sydney,88,13,1115457000
8,63,11,Football Park,Adelaide,15,2.0,2005-05-14 19:10:00,0,2005-05-14 18:40:00,2005,Round 8,9846,2,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,6,Brisbane Lions,Brisbane Lions,72,8,1116061800
8,73,22,Docklands,Carlton,13,7.0,2005-05-13 19:40:00,0,2005-05-13 19:40:00,2005,Round 8,9842,7,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,11,Geelong,Geelong,143,10,1115977200
8,58,13,M.C.G.,Collingwood,10,14.0,2005-05-15 14:10:00,0,2005-05-15 14:10:00,2005,Round 8,9848,14,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,15,Richmond,Richmond,93,8,1116130200
8,117,11,Docklands,Essendon,15,5.0,2005-05-15 14:10:00,0,2005-05-15 14:10:00,2005,Round 8,9849,6,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,16,Fremantle,Essendon,82,17,1116130200
8,128,13,M.C.G.,Hawthorn,14,10.0,2005-05-14 14:10:00,0,2005-05-14 14:10:00,2005,Round 8,9843,11,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,11,Melbourne,Hawthorn,89,19,1116043800
8,92,18,Docklands,North Melbourne,14,18.0,2005-05-14 19:10:00,0,2005-05-14 19:10:00,2005,Round 8,9845,18,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,10,Western Bulldogs,Western Bulldogs,118,13,1116061800
8,69,6,S.C.G.,Sydney,15,16.0,2005-05-15 13:10:00,0,2005-05-15 13:10:00,2005,Round 8,9847,13,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,9,Port Adelaide,Sydney,45,9,1116126600
8,88,7,Subiaco,West Coast,10,17.0,2005-05-14 14:10:00,0,2005-05-14 12:10:00,2005,Round 8,9844,15,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,10,St Kilda,West Coast,52,13,1116043800
9,83,12,Gabba,Brisbane Lions,11,14.0,2005-05-21 19:10:00,0,2005-05-21 19:10:00,2005,Round 9,9853,14,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,15,Richmond,Richmond,87,12,1116666600
9,92,15,Princes Park,Carlton,14,11.0,2005-05-21 14:10:00,0,2005-05-21 14:10:00,2005,Round 9,9851,11,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,20,Melbourne,Melbourne,110,13,1116648600
9,118,15,M.C.G.,Collingwood,10,4.0,2005-05-21 14:10:00,0,2005-05-21 14:10:00,2005,Round 9,9852,17,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,5,West Coast,Collingwood,95,18,1116648600
9,70,18,Subiaco,Fremantle,10,10.0,2005-05-22 14:40:00,0,2005-05-22 12:40:00,2005,Round 9,9857,10,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,16,Hawthorn,Hawthorn,124,10,1116736800
9,146,8,Kardinia Park,Geelong,14,7.0,2005-05-22 14:10:00,0,2005-05-22 14:10:00,2005,Round 9,9856,12,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,13,North Melbourne,Geelong,61,22,1116735000
9,85,9,Football Park,Port Adelaide,13,13.0,2005-05-21 19:10:00,0,2005-05-21 18:40:00,2005,Round 9,9854,5,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,12,Essendon,Port Adelaide,66,12,1116666600
9,57,15,Docklands,St Kilda,9,1.0,2005-05-20 19:40:00,0,2005-05-20 19:40:00,2005,Round 9,9850,1,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,13,Adelaide,Adelaide,103,8,1116582000
9,76,13,S.C.G.,Western Bulldogs,16,16.0,2005-05-22 13:10:00,0,2005-05-22 13:10:00,2005,Round 9,9855,16,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,11,Sydney,Sydney,89,10,1116731400
10,71,8,Football Park,Adelaide,17,1.0,2005-05-29 12:40:00,0,2005-05-29 12:10:00,2005,Round 10,9863,3,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,9,Carlton,Adelaide,57,9,1117334400
10,93,17,Gabba,Brisbane Lions,15,12.0,2005-05-28 19:10:00,0,2005-05-28 19:10:00,2005,Round 10,9861,12,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,10,North Melbourne,North Melbourne,112,13,1117271400
10,137,17,Docklands,Essendon,11,5.0,2005-05-29 14:10:00,0,2005-05-29 14:10:00,2005,Round 10,9864,18,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,8,Western Bulldogs,Essendon,110,21,1117339800
10,82,14,Kardinia Park,Geelong,16,6.0,2005-05-28 14:10:00,0,2005-05-28 14:10:00,2005,Round 10,9860,6,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,7,Fremantle,Fremantle,91,11,1117253400
10,80,17,M.C.G.,Hawthorn,8,4.0,2005-05-28 14:10:00,0,2005-05-28 14:10:00,2005,Round 10,9859,4,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,6,Collingwood,Collingwood,108,12,1117253400
10,131,11,Docklands,Melbourne,11,11.0,2005-05-27 19:40:00,0,2005-05-27 19:40:00,2005,Round 10,9858,14,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,8,Richmond,Melbourne,74,20,1117186800
10,101,8,Docklands,St Kilda,11,15.0,2005-05-28 19:10:00,0,2005-05-28 19:10:00,2005,Round 10,9862,16,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,10,Sydney,St Kilda,58,15,1117271400
10,179,9,Subiaco,West Coast,17,17.0,2005-05-29 14:40:00,0,2005-05-29 12:40:00,2005,Round 10,9865,13,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,8,Port Adelaide,West Coast,62,27,1117341600
11,151,9,Football Park,Adelaide,7,1.0,2005-06-04 19:10:00,0,2005-06-04 18:40:00,2005,Round 11,9870,5,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,9,Essendon,Adelaide,63,24,1117876200
11,91,18,Docklands,Carlton,7,16.0,2005-06-04 14:10:00,0,2005-06-04 14:10:00,2005,Round 11,9867,16,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,8,Sydney,Sydney,116,14,1117858200
11,121,14,Docklands,Collingwood,13,4.0,2005-06-03 19:40:00,0,2005-06-03 19:40:00,2005,Round 11,9866,7,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,12,Geelong,Collingwood,96,18,1117791600
11,67,15,Subiaco,Fremantle,7,2.0,2005-06-04 17:40:00,0,2005-06-04 15:40:00,2005,Round 11,9869,2,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,16,Brisbane Lions,Brisbane Lions,106,10,1117870800
11,80,17,Manuka Oval,North Melbourne,14,11.0,2005-06-05 13:10:00,0,2005-06-05 13:10:00,2005,Round 11,9871,11,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,14,Melbourne,Melbourne,116,11,1117941000
11,103,15,M.C.G.,Richmond,13,17.0,2005-06-04 14:10:00,0,2005-06-04 14:10:00,2005,Round 11,9868,17,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,15,West Coast,West Coast,105,15,1117858200
11,81,16,York Park,St Kilda,15,13.0,2005-06-05 13:10:00,0,2005-06-05 13:10:00,2005,Round 11,9872,13,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,8,Port Adelaide,Port Adelaide,104,11,1117941000
11,111,13,Docklands,Western Bulldogs,9,18.0,2005-06-05 14:10:00,0,2005-06-05 14:10:00,2005,Round 11,9873,10,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,11,Hawthorn,Western Bulldogs,89,17,1117944600
12,82,21,Docklands,Carlton,10,2.0,2005-06-11 19:10:00,0,2005-06-11 19:10:00,2005,Round 12,9876,2,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,14,Brisbane Lions,Brisbane Lions,140,12,1118481000
12,61,8,Kardinia Park,Geelong,7,7.0,2005-06-12 14:10:00,0,2005-06-12 14:10:00,2005,Round 12,9879,1,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,9,Adelaide,Geelong,57,9,1118549400
12,54,15,M.C.G.,Hawthorn,6,15.0,2005-06-11 14:10:00,0,2005-06-11 14:10:00,2005,Round 12,9875,15,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,10,St Kilda,St Kilda,100,8,1118463000
12,117,10,M.C.G.,Melbourne,15,11.0,2005-06-13 14:10:00,0,2005-06-13 14:10:00,2005,Round 12,9881,4,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,12,Collingwood,Melbourne,72,17,1118635800
12,109,10,Docklands,North Melbourne,7,12.0,2005-06-12 14:10:00,0,2005-06-12 14:10:00,2005,Round 12,9880,14,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,20,Richmond,North Melbourne,80,17,1118549400
12,118,15,Football Park,Port Adelaide,16,13.0,2005-06-11 19:10:00,0,2005-06-11 18:40:00,2005,Round 12,9877,18,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,13,Western Bulldogs,Port Adelaide,103,17,1118481000
12,109,10,S.C.G.,Sydney,13,16.0,2005-06-12 13:10:00,0,2005-06-12 13:10:00,2005,Round 12,9878,6,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,11,Fremantle,Sydney,71,16,1118545800
12,106,12,Subiaco,West Coast,16,17.0,2005-06-10 18:40:00,0,2005-06-10 16:40:00,2005,Round 12,9874,5,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,10,Essendon,West Coast,82,15,1118392800
13,116,6,Gabba,Brisbane Lions,14,2.0,2005-06-19 13:10:00,0,2005-06-19 13:10:00,2005,Round 13,9886,7,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,11,Geelong,Brisbane Lions,47,17,1119150600
13,119,16,Docklands,Essendon,5,5.0,2005-06-24 19:40:00,0,2005-06-24 19:40:00,2005,Round 13,9888,15,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,8,St Kilda,Essendon,104,19,1119606000
