hteamid,updated,is_grand_final,tz,timestr,complete,unixtime,ateam,abehinds,hgoals,winner,ascore,date,is_final,agoals,hscore,round,winnerteamid,hbehinds,venue,hteam,ateamid,id,roundname,year,localtime
4,2022-01-25 11:07:31,0,+10:00,Full Time,100,958882200,West Coast,20,13,West Coast,128,2000-05-21 14:10:00,0,18,92,11,17.0,14,Docklands,Collingwood,17,10796,Round 11,2000,2000-05-21 14:10:00
6,2022-01-25 11:07:31,0,+10:00,Full Time,100,958812000,Western Bulldogs,12,12,Western Bulldogs,174,2000-05-20 18:40:00,0,27,81,11,18.0,9,Subiaco,Fremantle,18,10795,Round 11,2000,2000-05-20 16:40:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,958815600,Essendon,13,13,Essendon,145,2000-05-20 19:40:00,0,22,87,11,5.0,9,Docklands,Geelong,5,10794,Round 11,2000,2000-05-20 19:40:00
10,2022-01-25 11:07:31,0,+10:00,Full Time,100,958795800,Richmond,14,11,Richmond,80,2000-05-20 14:10:00,0,11,77,11,14.0,11,M.C.G.,Hawthorn,14,10793,Round 11,2000,2000-05-20 14:10:00
15,2022-01-25 11:07:31,0,+10:00,Full Time,100,958729200,Port Adelaide,7,17,St Kilda,55,2000-05-19 19:40:00,0,8,117,11,15.0,15,Docklands,St Kilda,13,10791,Round 11,2000,2000-05-19 19:40:00
16,2022-01-25 11:07:31,0,+10:00,Full Time,100,958886400,Brisbane Lions,14,15,Brisbane Lions,110,2000-05-21 15:20:00,0,16,107,11,2.0,17,S.C.G.,Sydney,2,10798,Round 11,2000,2000-05-21 15:20:00
1,2022-01-25 11:07:31,0,+10:00,Full Time,100,959418600,Sydney,6,14,Adelaide,48,2000-05-27 19:10:00,0,7,98,12,1.0,14,Football Park,Adelaide,16,10801,Round 12,2000,2000-05-27 18:40:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,959420400,Richmond,9,14,Richmond,111,2000-05-27 19:40:00,0,17,99,12,14.0,15,Gabba,Brisbane Lions,14,10803,Round 12,2000,2000-05-27 19:40:00
4,2022-01-25 11:07:31,0,+10:00,Full Time,100,959400600,Geelong,11,9,Geelong,71,2000-05-27 14:10:00,0,10,67,12,7.0,13,M.C.G.,Collingwood,7,10800,Round 12,2000,2000-05-27 14:10:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,959334000,St Kilda,5,25,Essendon,83,2000-05-26 19:40:00,0,13,169,12,5.0,19,Docklands,Essendon,15,10799,Round 12,2000,2000-05-26 19:40:00
10,2022-01-25 11:07:31,0,+10:00,Full Time,100,959420400,Fremantle,14,19,Hawthorn,62,2000-05-27 19:40:00,0,8,121,12,10.0,7,Docklands,Hawthorn,6,10802,Round 12,2000,2000-05-27 19:40:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,959488800,Port Adelaide,11,10,North Melbourne,59,2000-05-28 14:40:00,0,8,76,12,12.0,16,S.C.G.,North Melbourne,13,10805,Round 12,2000,2000-05-28 14:40:00
17,2022-01-25 11:07:31,0,+10:00,Full Time,100,959484000,Carlton,8,11,Carlton,128,2000-05-28 13:20:00,0,20,78,12,3.0,12,Subiaco,West Coast,3,10806,Round 12,2000,2000-05-28 11:20:00
18,2022-01-25 11:07:31,0,+10:00,Full Time,100,959487000,Melbourne,5,16,Western Bulldogs,83,2000-05-28 14:10:00,0,13,108,12,18.0,12,Docklands,Western Bulldogs,11,10804,Round 12,2000,2000-05-28 14:10:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,960025200,West Coast,11,27,Brisbane Lions,89,2000-06-03 19:40:00,0,13,173,13,2.0,11,Gabba,Brisbane Lions,17,10810,Round 13,2000,2000-06-03 19:40:00
