tz,complete,timestr,updated,hteamid,is_grand_final,ateam,abehinds,winner,ascore,hgoals,unixtime,round,agoals,hscore,venue,hbehinds,hteam,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid
+10:00,100,Full Time,2022-01-25 11:07:14,1,0,Essendon,14,Adelaide,50,30,1149243000,10,6,188,Football Park,8,Adelaide,1.0,2006-06-02 20:10:00,0,2006-06-02 19:40:00,2006,Round 10,9673,5
+10:00,100,Full Time,2022-01-25 11:07:14,3,0,Port Adelaide,16,Port Adelaide,118,12,1149394200,10,17,84,Docklands,12,Carlton,13.0,2006-06-04 14:10:00,0,2006-06-04 14:10:00,2006,Round 10,9679,13
+10:00,100,Full Time,2022-01-25 11:07:14,4,0,Brisbane Lions,11,Collingwood,83,16,1149325800,10,12,109,M.C.G.,13,Collingwood,4.0,2006-06-03 19:10:00,0,2006-06-03 19:10:00,2006,Round 10,9676,2
+10:00,100,Full Time,2022-01-25 11:07:14,6,0,Richmond,11,Fremantle,89,15,1149320400,10,13,100,Subiaco,10,Fremantle,6.0,2006-06-03 17:40:00,0,2006-06-03 15:40:00,2006,Round 10,9677,14
+10:00,100,Full Time,2022-01-25 11:07:14,7,0,West Coast,5,West Coast,101,15,1149307800,10,16,98,Kardinia Park,8,Geelong,17.0,2006-06-03 14:10:00,0,2006-06-03 14:10:00,2006,Round 10,9675,17
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,St Kilda,12,Melbourne,90,15,1149394200,10,13,103,M.C.G.,13,Melbourne,11.0,2006-06-04 14:10:00,0,2006-06-04 14:10:00,2006,Round 10,9680,15
+10:00,100,Full Time,2022-01-25 11:07:14,12,0,Sydney,9,Sydney,105,14,1149390600,10,16,98,Manuka Oval,14,North Melbourne,16.0,2006-06-04 13:10:00,0,2006-06-04 13:10:00,2006,Round 10,9678,16
+10:00,100,Full Time,2022-01-25 11:07:14,18,0,Hawthorn,10,Western Bulldogs,88,16,1149307800,10,13,109,Docklands,13,Western Bulldogs,18.0,2006-06-03 14:10:00,0,2006-06-03 14:10:00,2006,Round 10,9674,10
+10:00,100,Full Time,2022-01-25 11:07:14,2,0,Adelaide,15,Adelaide,75,8,1149930600,11,10,60,Gabba,12,Brisbane Lions,1.0,2006-06-10 19:10:00,0,2006-06-10 19:10:00,2006,Round 11,9683,1
+10:00,100,Full Time,2022-01-25 11:07:14,7,0,Essendon,10,Geelong,88,20,1149846000,11,13,130,Docklands,10,Geelong,7.0,2006-06-09 19:40:00,0,2006-06-09 19:40:00,2006,Round 11,9681,5
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,Collingwood,10,Melbourne,94,22,1150085400,11,14,141,M.C.G.,9,Melbourne,11.0,2006-06-12 14:10:00,0,2006-06-12 14:10:00,2006,Round 11,9688,4
+10:00,100,Full Time,2022-01-25 11:07:14,13,0,Hawthorn,7,Port Adelaide,49,22,1149993600,11,7,145,Football Park,13,Port Adelaide,13.0,2006-06-11 12:40:00,0,2006-06-11 12:10:00,2006,Round 11,9685,10
+10:00,100,Full Time,2022-01-25 11:07:14,14,0,North Melbourne,13,Richmond,67,15,1149912600,11,9,102,M.C.G.,12,Richmond,14.0,2006-06-10 14:10:00,0,2006-06-10 14:10:00,2006,Round 11,9682,12
